Metric,Value
Total Users (Count),20
Submitted Users (Count),16
In Progress Users (Count),4

Total Answers (Count),325
Total Text Answers (Count),222
Total Audio Answers (Count),103
Text vs Audio Ratio,2.16:1

Average Time to Answer - Overall (mm:ss),0:21
Average Time to Answer - Text (mm:ss),0:15
Average Time to Answer - Audio (mm:ss),0:33
Audio takes longer than Text by (mm:ss),0:18
Audio/Text Time Ratio,2.22

Total Graded Answers (Count),246
Total Correct Answers (Count),194
Total Wrong Answers (Count),52
Overall Accuracy (%),78.86%

Text Answers - Graded (Count),154
Text Answers - Correct (Count),124
Text Answers - Wrong (Count),30
Text Accuracy (%),80.52%

Audio Answers - Graded (Count),92
Audio Answers - Correct (Count),70
Audio Answers - Wrong (Count),22
Audio Accuracy (%),76.09%

Text vs Audio Performance Gap (%),4.43%
Text performs better than Audio,Yes

Average Tab Changes per User (Count),3.05
Max Tab Changes (Count),14
Min Tab Changes (Count),0
Users with 0 Tab Changes (Count),10
Users with Tab Changes (Count),9

Total Answered Questions (Count),311

Total Time Spent by All Users (mm:ss),147:06
Average Time Spent per User (mm:ss),9:11
